ContextReferenceClass,ContextReferenceId,LinkClass,LinkClassId,Name,Amount,Unit,CreateTS,ModifiedTS,ClassName,RecordId,Trans1,Trans2,Trans3,OccGlobalId,OccIdentifier
wt.part.WTPart,80125,wt.part.WTPartUsageLink,81739,D20001_1,1,ea,2018-05-23 07:40:05.0000000,2018-05-23 07:40:05.0000000,wt.part.PartUsesOccurrence,81740,0,0,0,132268917-1527060797881-124376339-157-245-216-10:1,1
wt.part.WTPart,80365,wt.part.WTPartUsageLink,81741,D20002_1,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81742,0,0,0,132268917-1527060797881-124376339-157-245-216-10:2,2
wt.part.WTPart,80478,wt.part.WTPartUsageLink,81743,D20003_1,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81744,0,0,0,132268917-1527060797881-124376339-157-245-216-10:3,3
wt.part.WTPart,80478,wt.part.WTPartUsageLink,81745,D20004_1,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81746,0,0,0,132268917-1527060797881-124376339-157-245-216-10:4,4
wt.part.WTPart,80478,wt.part.WTPartUsageLink,81747,D20005_1,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81748,0,0,0,132268917-1527060797881-124376339-157-245-216-10:5,5
wt.part.WTPart,80478,wt.part.WTPartUsageLink,81749,D20006_1,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81750,-0.51187499999999997,0,0,132268917-1527060797881-124376339-157-245-216-10:6,6
wt.part.WTPart,80478,wt.part.WTPartUsageLink,81751,D20007_1,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81752,0,-1.9250640000000001,0,132268917-1527060797881-124376339-157-245-216-10:7,7
wt.part.WTPart,80478,wt.part.WTPartUsageLink,81753,D20008_1,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81754,-0.22017600000000001,-0.97487100000000004,0.40226400000000001,132268917-1527060797881-124376339-157-245-216-10:8,8
wt.part.WTPart,80478,wt.part.WTPartUsageLink,81753,D20008_2,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81755,-0.23813599999999999,-0.96735400000000005,0.427344,132268917-1527060797881-124376339-157-245-216-10:9,9
wt.part.WTPart,80478,wt.part.WTPartUsageLink,81756,D20009_1,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81757,-0.221972,-0.97397299999999998,0.40070899999999998,132268917-1527060797881-124376339-157-245-216-10:10,10
wt.part.WTPart,80478,wt.part.WTPartUsageLink,81756,D20009_2,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81758,-0.244423,-0.96421100000000004,0.4219,132268917-1527060797881-124376339-157-245-216-10:11,11
wt.part.WTPart,80365,wt.part.WTPartUsageLink,81759,D20010_1,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81760,0,0,0,132268917-1527060797881-124376339-157-245-216-10:12,12
wt.part.WTPart,80735,wt.part.WTPartUsageLink,81761,D20011_1,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81762,0,0,0,132268917-1527060797881-124376339-157-245-216-10:13,13
wt.part.WTPart,80735,wt.part.WTPartUsageLink,81763,D20012_1,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81764,0,0,0,132268917-1527060797881-124376339-157-245-216-10:14,14
wt.part.WTPart,80735,wt.part.WTPartUsageLink,81765,D20013_1,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81766,0,0,0,132268917-1527060797881-124376339-157-245-216-10:15,15
wt.part.WTPart,80735,wt.part.WTPartUsageLink,81767,D20014_1,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81768,0,0,0,132268917-1527060797881-124376339-157-245-216-10:16,16
wt.part.WTPart,80735,wt.part.WTPartUsageLink,81769,D20015_1,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81770,0,0,0,132268917-1527060797881-124376339-157-245-216-10:17,17
wt.part.WTPart,80735,wt.part.WTPartUsageLink,81771,D20016_1,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81772,0.22017600000000001,-0.97487100000000004,0.40226400000000001,132268917-1527060797881-124376339-157-245-216-10:18,18
wt.part.WTPart,80735,wt.part.WTPartUsageLink,81771,D20016_2,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81773,0.23813599999999999,-0.96735400000000005,0.427344,132268917-1527060797881-124376339-157-245-216-10:19,19
wt.part.WTPart,80735,wt.part.WTPartUsageLink,81774,D20017_1,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81775,0.226462,-0.97172800000000004,0.39682000000000001,132268917-1527060797881-124376339-157-245-216-10:20,20
wt.part.WTPart,80735,wt.part.WTPartUsageLink,81774,D20017_2,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81776,0.244423,-0.96421100000000004,0.4219,132268917-1527060797881-124376339-157-245-216-10:21,21
wt.part.WTPart,80365,wt.part.WTPartUsageLink,81777,D20018_1,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81778,0,0,0,132268917-1527060797881-124376339-157-245-216-10:22,22
wt.part.WTPart,80365,wt.part.WTPartUsageLink,81779,D20019_1,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81780,0,0,0,132268917-1527060797881-124376339-157-245-216-10:23,23
wt.part.WTPart,80365,wt.part.WTPartUsageLink,81781,D20020_1,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81782,4.1822999999999999E-2,-0.86794499999999997,0.255162,132268917-1527060797881-124376339-157-245-216-10:24,24
wt.part.WTPart,80365,wt.part.WTPartUsageLink,81781,D20020_2,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81783,2.3862000000000001E-2,-0.87546199999999996,0.23008300000000001,132268917-1527060797881-124376339-157-245-216-10:25,25
wt.part.WTPart,80365,wt.part.WTPartUsageLink,81781,D20020_3,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81784,-2.3862000000000001E-2,-0.87546199999999996,0.23008300000000001,132268917-1527060797881-124376339-157-245-216-10:26,26
wt.part.WTPart,80365,wt.part.WTPartUsageLink,81781,D20020_4,1,ea,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.PartUsesOccurrence,81785,-4.1822999999999999E-2,-0.86794499999999997,0.255162,132268917-1527060797881-124376339-157-245-216-10:27,27
