ContainerReferenceClass,ContainerReferenceId,UpdatedBy,UpdatedById,Iteration,LatestIteration,MasterClass,MasterReference,LifeCycleState,CreateTS,ModifiedTS,ClassName,RecordId,Variation1,Variation2,VersionInfo,VersionLevel,ViewClassName,ViewId
wt.pdmlink.PDMLinkProduct,79822,wt.org.WTUser,11,1,1,wt.part.WTPartMaster,80121,INWORK,2018-05-23 07:39:58.0000000,2018-05-23 07:39:58.0000000,wt.part.WTPart,80125,,,A,1,wt.vc.views.View,29115
wt.pdmlink.PDMLinkProduct,79822,wt.org.WTUser,11,1,1,wt.part.WTPartMaster,80362,INWORK,2018-05-23 07:40:00.0000000,2018-05-23 07:40:00.0000000,wt.part.WTPart,80365,,,A,1,wt.vc.views.View,29115
wt.pdmlink.PDMLinkProduct,79822,wt.org.WTUser,11,1,1,wt.part.WTPartMaster,80475,INWORK,2018-05-23 07:40:00.0000000,2018-05-23 07:40:00.0000000,wt.part.WTPart,80478,,,A,1,wt.vc.views.View,29115
wt.pdmlink.PDMLinkProduct,79822,wt.org.WTUser,11,1,1,wt.part.WTPartMaster,80510,INWORK,2018-05-23 07:40:01.0000000,2018-05-23 07:40:01.0000000,wt.part.WTPart,80513,,,A,1,wt.vc.views.View,29115
wt.pdmlink.PDMLinkProduct,79822,wt.org.WTUser,11,1,1,wt.part.WTPartMaster,80541,INWORK,2018-05-23 07:40:01.0000000,2018-05-23 07:40:01.0000000,wt.part.WTPart,80544,,,A,1,wt.vc.views.View,29115
wt.pdmlink.PDMLinkProduct,79822,wt.org.WTUser,11,1,1,wt.part.WTPartMaster,80572,INWORK,2018-05-23 07:40:01.0000000,2018-05-23 07:40:01.0000000,wt.part.WTPart,80575,,,A,1,wt.vc.views.View,29115
wt.pdmlink.PDMLinkProduct,79822,wt.org.WTUser,11,1,1,wt.part.WTPartMaster,80604,INWORK,2018-05-23 07:40:01.0000000,2018-05-23 07:40:01.0000000,wt.part.WTPart,80607,,,A,1,wt.vc.views.View,29115
wt.pdmlink.PDMLinkProduct,79822,wt.org.WTUser,11,1,1,wt.part.WTPartMaster,80636,INWORK,2018-05-23 07:40:01.0000000,2018-05-23 07:40:01.0000000,wt.part.WTPart,80639,,,A,1,wt.vc.views.View,29115
wt.pdmlink.PDMLinkProduct,79822,wt.org.WTUser,11,1,1,wt.part.WTPartMaster,80668,INWORK,2018-05-23 07:40:01.0000000,2018-05-23 07:40:01.0000000,wt.part.WTPart,80671,,,A,1,wt.vc.views.View,29115
wt.pdmlink.PDMLinkProduct,79822,wt.org.WTUser,11,1,1,wt.part.WTPartMaster,80700,INWORK,2018-05-23 07:40:01.0000000,2018-05-23 07:40:01.0000000,wt.part.WTPart,80703,,,A,1,wt.vc.views.View,29115
wt.pdmlink.PDMLinkProduct,79822,wt.org.WTUser,11,1,1,wt.part.WTPartMaster,80732,INWORK,2018-05-23 07:40:01.0000000,2018-05-23 07:40:01.0000000,wt.part.WTPart,80735,,,A,1,wt.vc.views.View,29115
wt.pdmlink.PDMLinkProduct,79822,wt.org.WTUser,11,1,1,wt.part.WTPartMaster,80788,INWORK,2018-05-23 07:40:02.0000000,2018-05-23 07:40:02.0000000,wt.part.WTPart,80791,,,A,1,wt.vc.views.View,29115
wt.pdmlink.PDMLinkProduct,79822,wt.org.WTUser,11,1,1,wt.part.WTPartMaster,80820,INWORK,2018-05-23 07:40:02.0000000,2018-05-23 07:40:02.0000000,wt.part.WTPart,80823,,,A,1,wt.vc.views.View,29115
