ContainerReferenceClass,ContainerReferenceId,GenericType,PartName,PartNumber,OrgClass,OrgClassId,IsServiceable,CreateTS,ModifiedTS,ClassName,RecordId
wt.pdmlink.PDMLinkProduct,79822,standard,GOLF_CART,GC000001,wt.org.WTOrganization,79550,1,2018-05-23 07:39:58.0000000,2018-05-23 07:39:58.0000000,wt.part.WTPartMaster,80121
wt.pdmlink.PDMLinkProduct,79822,standard,LEG,GC000002,wt.org.WTOrganization,79550,1,2018-05-23 07:40:00.0000000,2018-05-23 07:40:00.0000000,wt.part.WTPartMaster,80362
wt.pdmlink.PDMLinkProduct,79822,standard,LEFT_ACTUATOR,GC000003,wt.org.WTOrganization,79550,1,2018-05-23 07:40:00.0000000,2018-05-23 07:40:00.0000000,wt.part.WTPartMaster,80475
wt.pdmlink.PDMLinkProduct,79822,standard,LOWER_LEFT_ARM,GC000004,wt.org.WTOrganization,79550,1,2018-05-23 07:40:01.0000000,2018-05-23 07:40:01.0000000,wt.part.WTPartMaster,80510
wt.pdmlink.PDMLinkProduct,79822,standard,UPPER_LEFT_ARM,GC000005,wt.org.WTOrganization,79550,1,2018-05-23 07:40:01.0000000,2018-05-23 07:40:01.0000000,wt.part.WTPartMaster,80541
wt.pdmlink.PDMLinkProduct,79822,standard,LOWER_LEFT_ACTUATOR,GC000006,wt.org.WTOrganization,79550,1,2018-05-23 07:40:01.0000000,2018-05-23 07:40:01.0000000,wt.part.WTPartMaster,80572
wt.pdmlink.PDMLinkProduct,79822,standard,AXLE_LATCH,GC000007,wt.org.WTOrganization,79550,1,2018-05-23 07:40:01.0000000,2018-05-23 07:40:01.0000000,wt.part.WTPartMaster,80604
wt.pdmlink.PDMLinkProduct,79822,standard,AXLE_FASTENER,GC000008,wt.org.WTOrganization,79550,1,2018-05-23 07:40:01.0000000,2018-05-23 07:40:01.0000000,wt.part.WTPartMaster,80636
wt.pdmlink.PDMLinkProduct,79822,standard,BOLT_1_4,GC000009,wt.org.WTOrganization,79550,1,2018-05-23 07:40:01.0000000,2018-05-23 07:40:01.0000000,wt.part.WTPartMaster,80668
wt.pdmlink.PDMLinkProduct,79822,standard,NUT_1_4,GC000010,wt.org.WTOrganization,79550,1,2018-05-23 07:40:01.0000000,2018-05-23 07:40:01.0000000,wt.part.WTPartMaster,80700
wt.pdmlink.PDMLinkProduct,79822,standard,RIGHT_ACTUATOR,GC000011,wt.org.WTOrganization,79550,1,2018-05-23 07:40:01.0000000,2018-05-23 07:40:01.0000000,wt.part.WTPartMaster,80732
wt.pdmlink.PDMLinkProduct,79822,standard,LOWER_RIGHT_ACTUATOR,GC000012,wt.org.WTOrganization,79550,1,2018-05-23 07:40:02.0000000,2018-05-23 07:40:02.0000000,wt.part.WTPartMaster,80788
wt.pdmlink.PDMLinkProduct,79822,standard,UPPER_RIGHT_ARM,GC000013,wt.org.WTOrganization,79550,1,2018-05-23 07:40:02.0000000,2018-05-23 07:40:02.0000000,wt.part.WTPartMaster,80820
wt.pdmlink.PDMLinkProduct,79822,standard,LOWER_RIGHT_ARM,GC000014,wt.org.WTOrganization,79550,1,2018-05-23 07:40:02.0000000,2018-05-23 07:40:02.0000000,wt.part.WTPartMaster,80851
